PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=82 ttl=118 time=17.4 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=118 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=118 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=118 time=41.5 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=118 time=19.2 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=118 time=118 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=118 time=19.2 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=118 time=17.5 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=118 time=15.3 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=118 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=118 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=118 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=118 time=45.6 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=118 time=112 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=118 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=118 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=118 time=66.2 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=118 time=84.2 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=118 time=113 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=118 time=140 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=118 time=78.5 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=118 time=16.4 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=118 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=118 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=118 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=118 time=18.8 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=118 time=17.1 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=118 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=118 time=19.7 ms
64 bytes from 8.8.8.8: icmp_seq=118 ttl=118 time=18.3 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=118 time=16.3 ms
64 bytes from 8.8.8.8: icmp_seq=120 ttl=118 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=121 ttl=118 time=52.4 ms
64 bytes from 8.8.8.8: icmp_seq=122 ttl=118 time=21.0 ms
64 bytes from 8.8.8.8: icmp_seq=123 ttl=118 time=105 ms
64 bytes from 8.8.8.8: icmp_seq=124 ttl=118 time=157 ms
64 bytes from 8.8.8.8: icmp_seq=125 ttl=118 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=126 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=127 ttl=118 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=128 ttl=118 time=20.4 ms
64 bytes from 8.8.8.8: icmp_seq=129 ttl=118 time=18.9 ms
64 bytes from 8.8.8.8: icmp_seq=130 ttl=118 time=191 ms
64 bytes from 8.8.8.8: icmp_seq=131 ttl=118 time=95.5 ms
64 bytes from 8.8.8.8: icmp_seq=132 ttl=118 time=26.2 ms
64 bytes from 8.8.8.8: icmp_seq=133 ttl=118 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=134 ttl=118 time=80.3 ms
64 bytes from 8.8.8.8: icmp_seq=135 ttl=118 time=17.5 ms
64 bytes from 8.8.8.8: icmp_seq=136 ttl=118 time=35.9 ms
64 bytes from 8.8.8.8: icmp_seq=137 ttl=118 time=63.9 ms
64 bytes from 8.8.8.8: icmp_seq=138 ttl=118 time=92.4 ms
64 bytes from 8.8.8.8: icmp_seq=139 ttl=118 time=120 ms
64 bytes from 8.8.8.8: icmp_seq=140 ttl=118 time=152 ms
64 bytes from 8.8.8.8: icmp_seq=141 ttl=118 time=77.3 ms
64 bytes from 8.8.8.8: icmp_seq=142 ttl=118 time=15.6 ms
64 bytes from 8.8.8.8: icmp_seq=143 ttl=118 time=73.1 ms
64 bytes from 8.8.8.8: icmp_seq=144 ttl=118 time=41.4 ms
64 bytes from 8.8.8.8: icmp_seq=145 ttl=118 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=146 ttl=118 time=17.4 ms
64 bytes from 8.8.8.8: icmp_seq=147 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=148 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=149 ttl=118 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=150 ttl=118 time=19.4 ms
64 bytes from 8.8.8.8: icmp_seq=151 ttl=118 time=17.3 ms
64 bytes from 8.8.8.8: icmp_seq=152 ttl=118 time=15.4 ms
64 bytes from 8.8.8.8: icmp_seq=153 ttl=118 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=154 ttl=118 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=155 ttl=118 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=156 ttl=118 time=17.5 ms
64 bytes from 8.8.8.8: icmp_seq=157 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=158 ttl=118 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=159 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=160 ttl=118 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=161 ttl=118 time=27.2 ms
64 bytes from 8.8.8.8: icmp_seq=162 ttl=118 time=33.3 ms
64 bytes from 8.8.8.8: icmp_seq=163 ttl=118 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=164 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=165 ttl=118 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=166 ttl=118 time=17.7 ms
64 bytes from 8.8.8.8: icmp_seq=167 ttl=118 time=25.4 ms
64 bytes from 8.8.8.8: icmp_seq=168 ttl=118 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=169 ttl=118 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=170 ttl=118 time=19.1 ms
64 bytes from 8.8.8.8: icmp_seq=171 ttl=118 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=172 ttl=118 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=173 ttl=118 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=174 ttl=118 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=175 ttl=118 time=19.2 ms
64 bytes from 8.8.8.8: icmp_seq=176 ttl=118 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=177 ttl=118 time=25.3 ms
64 bytes from 8.8.8.8: icmp_seq=178 ttl=118 time=105 ms
64 bytes from 8.8.8.8: icmp_seq=179 ttl=118 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=180 ttl=118 time=19.3 ms
